,Precision,Recall,F1 score,Accuracy
Logistic Regression,0.7376980397422127,0.7232142857142857,0.7140085723890631,0.7232142857142857
Linear SVC,0.7425642984466513,0.7142857142857143,0.7061188566335624,0.7142857142857143
Random Forest,0.7559434165232358,0.625,0.5849635658459188,0.625
Voting Ensemble,0.7222365325502721,0.7053571428571429,0.6927392821408151,0.7053571428571429
